Step | Direction
-----|----------
 1   |  LEFT    
 2   |  LEFT    
 3   |  LEFT    
 4   |  LEFT    
 5   |  LEFT    
 6   |  LEFT    
 7   |  LEFT    
 8   |  LEFT    
 9   |  LEFT    
 10  |  LEFT    
 11  |  LEFT    
 12  |  LEFT    
 13  |  LEFT    
 14  |  LEFT    
 15  |  LEFT    
 16  |  LEFT    
 17  |  LEFT    
 18  |  LEFT    
 19  |  LEFT    
 20  |  LEFT    
 21  |  LEFT    
 22  |  LEFT    
 23  |  LEFT    
 24  |  UP      
 25  |  UP      
 26  |  UP      
 27  |  UP      
 28  |  UP      
 29  |  UP      
 30  |  UP      
 31  |  UP      
 32  |  LEFT    
 33  |  LEFT    
 34  |  LEFT    
 35  |  LEFT    
 36  |  LEFT    
 37  |  LEFT    
 38  |  LEFT    
 39  |  UP      
 40  |  UP      
 41  |  LEFT    
 42  |  UP      
 43  |  LEFT    
 44  |  LEFT    
 45  |  LEFT    
 46  |  LEFT    
 47  |  LEFT    
 48  |  LEFT    
 49  |  RIGHT   
 50  |  RIGHT   
 51  |  RIGHT   
 52  |  RIGHT   
 53  |  RIGHT   
 54  |  RIGHT   
 55  |  RIGHT   
 56  |  RIGHT   
 57  |  RIGHT   
 58  |  RIGHT   
 59  |  RIGHT   
 60  |  DOWN    
 61  |  RIGHT   
 62  |  RIGHT   
 63  |  RIGHT   
 64  |  UP      
 65  |  UP      
 66  |  UP      
 67  |  LEFT    
 68  |  LEFT    
 69  |  UP      
 70  |  UP      
 71  |  RIGHT   
 72  |  RIGHT   
 73  |  RIGHT   
 74  |  RIGHT   
 75  |  RIGHT   
 76  |  RIGHT   
 77  |  RIGHT   
 78  |  RIGHT   
 79  |  RIGHT   
 80  |  RIGHT   
 81  |  RIGHT   
 82  |  RIGHT   
 83  |  RIGHT   
 84  |  RIGHT   
 85  |  RIGHT   
 86  |  RIGHT   
 87  |  RIGHT   
 88  |  RIGHT   
 89  |  UP      
 90  |  RIGHT   
 91  |  RIGHT   
 92  |  RIGHT   
 93  |  RIGHT   
 94  |  RIGHT   
 95  |  UP      
 96  |  UP      
 97  |  RIGHT   
 98  |  RIGHT   
 99  |  RIGHT   
 100 |  RIGHT   
 101 |  UP      
 102 |  UP      
 103 |  UP      
 104 |  RIGHT   
 105 |  RIGHT   
 106 |  RIGHT   
 107 |  LEFT    
 108 |  LEFT    
 109 |  LEFT    
 110 |  DOWN    
 111 |  LEFT    
 112 |  LEFT    
 113 |  LEFT    
 114 |  LEFT    
 115 |  LEFT    
 116 |  LEFT    
 117 |  DOWN    
 118 |  DOWN    
 119 |  LEFT    
 120 |  LEFT    
 121 |  LEFT    
 122 |  LEFT    
